
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Mark Acres\acresma01,C,27,ORL,80,50,1691,2.9,6.1,.484,0.1,0.1,.750,2.9,6.0,.480,1.8,2.6,.692,3.3,5.9,9.2,1.4,0.8,0.5,1.5,5.3,7.7
2,Michael Adams\adamsmi01,PG,27,DEN,79,74,2690,5.3,13.2,.402,2.1,5.8,.366,3.2,7.5,.431,3.6,4.2,.850,0.7,2.4,3.0,6.6,1.6,0.0,1.9,1.8,16.3
3,Mark Aguirre\aguirma01,SF,30,DET,78,40,2005,7.9,16.1,.488,0.6,1.7,.333,7.3,14.5,.506,3.4,4.6,.756,2.1,3.4,5.5,2.6,0.6,0.3,2.2,3.6,19.7
4,Danny Ainge\aingeda01,PG,30,SAC,75,68,2727,6.7,15.2,.438,1.4,3.8,.374,5.3,11.4,.460,2.9,3.5,.831,0.9,3.4,4.3,6.0,1.5,0.2,2.4,3.1,17.7
5,Mark Alarie\alarima01,PF,26,WSB,82,10,1893,7.1,14.9,.473,0.2,0.9,.204,6.9,14.0,.490,2.1,2.5,.812,2.9,4.2,7.1,2.7,1.1,0.7,1.9,4.2,16.4
6,Steve Alford\alforst01,PG,25,DAL,41,0,302,7.5,16.5,.457,0.8,2.6,.318,6.7,13.8,.483,4.2,4.4,.946,0.2,2.7,3.0,4.6,1.8,0.4,1.9,2.6,20.0
7,Randy Allen\allenra01,SG,25,SAC,63,6,746,5.1,11.5,.444,0.0,0.3,.000,5.1,11.2,.457,1.1,2.1,.535,2.4,4.3,6.7,1.1,0.8,0.9,1.4,4.9,11.3
8,Greg Anderson\andergr01,PF,25,MIL,60,28,1291,6.1,12.0,.507,0.0,0.0,,6.1,12.0,.507,2.5,4.7,.535,3.1,7.3,10.4,0.7,0.9,1.5,2.2,4.9,14.8
9,Nick Anderson\anderni01,SG,22,ORL,81,9,1785,7.5,15.2,.494,0.0,0.3,.059,7.5,14.8,.504,3.8,5.3,.705,2.2,4.2,6.4,2.5,1.4,0.7,2.8,2.8,18.8
10,Richard Anderson\anderri01,PF,29,CHH,54,2,604,5.2,12.6,.417,2.2,6.0,.370,3.0,6.6,.459,1.1,1.4,.783,2.0,5.6,7.6,3.3,1.2,0.5,1.5,3.8,13.8
11,Ron Anderson\anderro01,SF,31,PHI,78,3,2089,6.5,14.5,.451,0.1,0.4,.143,6.5,14.1,.459,2.8,3.4,.838,1.4,3.7,5.1,2.5,1.2,0.2,1.3,2.5,16.0
12,Willie Anderson\anderwi01,SG,23,SAS,82,81,2788,6.9,14.0,.492,0.1,0.3,.269,6.8,13.6,.497,2.8,3.7,.748,1.5,3.3,4.8,4.7,1.4,0.7,2.6,3.3,16.6
13,Michael Ansley\anslemi01,SF,22,ORL,72,5,1221,6.8,13.7,.497,0.0,0.0,,6.8,13.7,.497,4.8,6.7,.722,5.5,5.2,10.7,1.2,0.7,0.5,1.5,4.5,18.5
14,B.J. Armstrong\armstbj01,PG,22,CHI,81,0,1291,5.3,10.9,.485,0.1,0.2,.500,5.2,10.8,.484,1.9,2.2,.885,0.5,2.3,2.8,5.5,1.3,0.2,2.3,2.9,12.6
15,John Bagley\baglejo01,PG,29,BOS,54,17,1095,3.3,7.2,.459,0.0,0.6,.056,3.3,6.6,.495,1.0,1.3,.744,0.9,2.1,2.9,9.7,1.3,0.1,3.0,2.5,7.6
16,Thurl Bailey\baileth01,SF,28,UTA,82,33,2583,6.6,13.6,.481,0.0,0.1,.000,6.6,13.5,.485,3.1,4.0,.779,1.6,4.1,5.7,1.9,0.4,1.4,1.9,2.4,16.2
17,Ken Bannister\bannike01,PF,29,LAC,52,1,589,4.7,9.8,.478,0.0,0.1,.000,4.7,9.8,.481,3.2,6.7,.473,2.4,4.5,6.8,1.1,1.0,0.4,2.7,5.6,12.6
18,Charles Barkley*\barklch01,SF,26,PHI,79,79,3085,8.2,13.7,.600,0.2,1.1,.217,8.0,12.7,.632,6.5,8.7,.749,4.2,6.4,10.6,3.6,1.7,0.6,2.8,2.9,23.2
19,Dana Barros\barroda01,PG,22,SEA,81,25,1630,6.6,16.3,.405,2.1,5.3,.399,4.5,11.0,.408,2.0,2.4,.809,0.8,2.1,2.9,4.5,1.2,0.0,2.7,2.1,17.3
20,John Battle\battljo01,SG,27,ATL,60,48,1477,6.7,13.3,.506,0.0,0.3,.154,6.7,12.9,.514,2.5,3.3,.756,0.7,1.8,2.4,3.8,0.7,0.1,2.2,2.8,15.9
21,Kenny Battle\battlke01,SG,25,PHO,59,8,729,4.6,8.4,.547,0.0,0.2,.250,4.5,8.2,.554,2.7,4.0,.671,2.2,4.0,6.1,1.9,1.7,0.5,1.6,4.6,12.0
22,William Bedford\bedfowi01,C,26,DET,42,0,246,7.9,18.3,.432,0.1,0.9,.167,7.8,17.4,.445,1.3,3.2,.409,2.2,6.3,8.5,0.6,0.4,2.5,3.1,5.7,17.3
23,Benoit Benjamin\benjabe01,C,25,LAC,71,58,2313,5.6,10.7,.526,0.0,0.0,.000,5.6,10.7,.527,3.7,5.0,.732,2.4,7.8,10.2,2.5,0.9,2.9,2.9,3.4,14.9
24,Winston Bennett\bennewi01,SF,24,CLE,55,34,990,5.0,10.4,.479,0.0,0.0,,5.0,10.4,.479,2.3,3.5,.667,3.1,3.8,6.8,2.0,0.8,0.4,2.3,4.8,12.3
25,Larry Bird*\birdla01,SF,33,BOS,75,75,2944,8.8,18.6,.473,0.8,2.4,.333,8.0,16.2,.494,3.9,4.2,.930,1.1,7.6,8.7,6.9,1.3,0.7,3.0,2.1,22.3
26,Uwe Blab\blabuw01,C,27,TOT,47,33,531,2.6,6.6,.398,0.0,0.0,,2.6,6.6,.398,1.4,2.5,.541,2.0,5.4,7.3,1.7,0.1,1.5,2.4,6.9,6.6
27,Rolando Blackman\blackro01,SG,30,DAL,80,80,2934,7.7,15.4,.498,0.2,0.5,.302,7.5,14.9,.505,3.5,4.2,.844,1.1,2.4,3.4,3.5,0.9,0.3,2.1,1.6,19.0
28,Mookie Blaylock\blaylmo01,PG,22,NJN,50,17,1267,6.0,16.2,.371,0.5,2.3,.225,5.5,14.0,.395,1.8,2.3,.778,1.2,2.8,4.0,6.0,2.3,0.4,3.2,3.1,14.3
29,Muggsy Bogues\boguemu01,PG,25,CHH,81,65,2743,4.3,8.7,.491,0.1,0.3,.192,4.2,8.4,.503,1.4,1.8,.791,0.6,2.1,2.7,11.4,2.2,0.0,1.9,2.2,10.0
30,Manute Bol\bolma01,C,27,GSW,75,20,1310,1.5,4.6,.331,0.2,1.3,.188,1.3,3.3,.388,0.7,1.3,.510,0.9,6.7,7.6,1.0,0.4,6.5,1.4,5.3,4.0
31,Anthony Bowie\bowiean01,SG,26,HOU,66,0,918,4.7,11.5,.406,0.2,0.8,.286,4.4,10.7,.415,1.6,2.1,.741,1.4,3.2,4.6,3.8,1.6,0.2,2.3,3.1,11.1
32,Sam Bowie\bowiesa01,C,28,NJN,68,54,2207,5.7,13.6,.416,0.2,0.5,.323,5.5,13.1,.420,4.8,6.2,.776,3.4,7.9,11.3,1.5,0.6,2.0,2.0,3.4,16.3
33,Adrian Branch\brancad01,SF,26,MIN,11,0,91,9.9,24.1,.410,0.4,0.4,1.000,9.5,23.7,.400,5.5,8.7,.636,3.2,4.7,7.9,1.6,2.4,0.0,3.2,5.5,25.7
34,Randy Breuer\breuera01,C,29,TOT,81,55,1879,5.7,13.3,.428,0.0,0.0,.000,5.7,13.3,.429,2.4,3.7,.653,3.0,5.0,8.0,1.9,0.8,2.1,1.8,3.8,13.8
35,Frank Brickowski\brickfr01,C,30,SAS,78,12,1438,5.3,9.7,.545,0.0,0.1,.000,5.3,9.6,.548,2.4,3.5,.674,2.2,6.0,8.2,2.6,1.7,0.9,2.3,5.7,12.9
36,Scott Brooks\brooksc01,PG,24,PHI,72,1,975,4.4,10.2,.431,1.1,2.9,.392,3.2,7.3,.447,1.8,2.1,.877,0.6,1.8,2.4,7.6,1.7,0.0,1.4,3.9,11.8
37,Chucky Brown\brownch01,SF,21,CLE,75,35,1339,5.6,12.0,.470,0.0,0.2,.000,5.6,11.8,.477,3.4,4.4,.762,2.2,4.0,6.2,1.3,0.9,0.7,1.9,4.0,14.7
38,Mike Brown\brownmi01,C,26,UTA,82,0,1397,4.6,8.9,.515,0.0,0.1,.500,4.5,8.8,.515,4.0,5.1,.789,2.9,6.8,9.6,1.2,0.8,0.7,2.3,4.8,13.2
39,Raymond Brown\brownra01,PF,24,UTA,16,0,56,5.1,18.0,.286,0.0,0.0,,5.1,18.0,.286,0.0,1.3,.000,6.4,3.2,9.6,2.6,0.0,0.0,3.9,7.1,10.3
40,Tony Brown\brownto01,SF,29,MIL,61,10,635,5.0,11.7,.427,0.3,1.1,.250,4.7,10.5,.446,2.2,3.2,.679,2.2,1.9,4.1,2.3,1.8,0.2,2.9,4.5,12.4
41,Stanley Brundy\brundst01,SF,22,NJN,16,0,128,4.2,8.4,.500,0.0,0.0,,4.2,8.4,.500,2.0,5.1,.389,4.2,3.1,7.3,0.8,1.7,1.4,1.7,6.8,10.4
42,Mark Bryant\bryanma01,PF,24,POR,58,0,562,4.5,9.8,.458,0.0,0.0,,4.5,9.8,.458,1.8,3.2,.560,3.5,5.9,9.4,0.8,1.2,0.6,1.6,6.0,10.8
43,Torgeir Bryn\brynto01,C,25,LAC,3,0,10,0.0,7.2,.000,0.0,0.0,,0.0,7.2,.000,14.4,21.6,.667,0.0,7.2,7.2,0.0,7.2,3.6,3.6,18.0,14.4
44,Steve Bucknall\bucknst01,SG,23,LAL,18,0,75,4.3,15.8,.273,0.0,0.5,.000,4.3,15.4,.281,2.4,2.9,.833,2.4,1.0,3.4,4.8,1.0,0.5,5.3,4.8,11.0
45,Greg Butler\butlegr01,C,23,NYK,13,0,33,3.3,13.1,.250,0.0,0.0,,3.3,13.1,.250,0.0,2.2,.000,3.3,6.5,9.8,1.1,0.0,0.0,3.3,8.7,6.5
46,Michael Cage\cagemi01,C,28,SEA,82,82,2595,4.5,8.9,.504,0.0,0.0,,4.5,8.9,.504,2.1,2.9,.698,4.2,7.1,11.4,1.0,1.1,0.6,1.3,3.2,11.1
