Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1,Alaa Abdelnaby,PF,24,TOT,75,1311,13.2,0.551,0.002,0.245,11.0,18.1,14.6,3.0,1.0,1.2,15.6,20.5,,0.7,1.3,2.0,0.07400000000000001,,-2.4,-1.5,-3.9,-0.6
2,Mahmoud Abdul-Rauf,PG,23,DEN,81,2710,15.6,0.515,0.14,0.165,2.0,6.8,4.4,20.8,1.5,0.2,11.0,25.5,,3.0,2.2,5.1,0.091,,0.9,-1.1,-0.1,1.3
3,Mark Acres,C,30,TOT,18,269,8.9,0.5710000000000001,0.040999999999999995,0.327,10.8,17.4,14.0,2.5,0.5,1.4,18.8,11.0,,0.1,0.2,0.3,0.055999999999999994,,-3.7,-1.6,-5.3,-0.2
4,Michael Adams,PG,30,WSB,70,2499,15.6,0.5429999999999999,0.255,0.33299999999999996,2.3,8.6,5.4,30.6,2.0,0.1,15.5,19.2,,3.3,1.2,4.6,0.08800000000000001,,0.9,-0.9,0.0,1.3
5,Rafael Addison,SF,28,NJN,68,1164,8.4,0.484,0.083,0.17,4.2,8.2,6.2,6.8,1.0,0.6,12.7,18.2,,-0.1,1.0,0.9,0.038,,-3.9,-0.9,-4.8,-0.8
6,Mark Aguirre,SF,33,DET,51,1056,13.7,0.525,0.19699999999999998,0.306,4.3,12.0,8.0,15.3,0.8,0.4,12.4,22.2,,1.1,0.7,1.8,0.08199999999999999,,0.3,-0.5,-0.2,0.5
7,Danny Ainge,SG,33,PHO,80,2163,14.3,0.596,0.51,0.19899999999999998,2.6,8.3,5.5,16.5,1.5,0.2,12.5,17.3,,4.5,1.8,6.2,0.139,,1.8,-0.3,1.4,1.9
8,Victor Alexander,C,23,GSW,72,1753,14.3,0.5479999999999999,0.033,0.243,8.4,18.4,13.4,7.8,0.9,1.9,14.0,20.0,,1.6,1.4,3.0,0.083,,-1.0,-0.6,-1.6,0.2
9,Eric Anderson,PF,22,NYK,16,44,11.3,0.44299999999999995,0.0,0.722,15.6,19.6,17.7,9.9,3.5,1.5,17.4,28.2,,0.0,0.1,0.1,0.091,,-7.6,2.0,-5.6,0.0
10,Kenny Anderson,PG,22,NJN,55,2010,16.6,0.48700000000000004,0.028999999999999998,0.273,2.8,9.5,6.1,34.7,2.4,0.3,13.8,23.1,,1.9,2.5,4.4,0.106,,1.1,0.5,1.6,1.8
11,Nick Anderson,SG,25,ORL,79,2920,17.3,0.524,0.188,0.304,5.0,13.0,9.2,14.7,2.2,1.2,9.9,24.5,,4.0,3.7,7.7,0.126,,2.0,0.8,2.8,3.5
12,Ron Anderson,SF,34,PHI,69,1263,11.8,0.48100000000000004,0.221,0.16399999999999998,5.3,10.4,7.9,11.7,1.2,0.2,9.7,21.6,,0.0,0.5,0.5,0.019,,-1.4,-2.3,-3.7,-0.5
13,Willie Anderson,SG,26,SAS,38,560,8.7,0.461,0.043,0.151,1.5,9.8,5.8,20.4,1.3,0.7,18.2,19.0,,-0.6,0.5,-0.1,-0.006999999999999999,,-3.9,-0.9,-4.7,-0.4
14,Greg Anthony,PG,25,NYK,70,1699,13.7,0.469,0.07200000000000001,0.379,2.8,8.1,5.6,33.3,3.4,0.5,17.5,15.1,,1.0,3.6,4.6,0.131,,-0.6,3.3,2.7,2.0
15,B.J. Armstrong,PG,25,CHI,82,2492,14.7,0.57,0.17,0.185,1.2,5.8,3.4,18.6,1.4,0.2,8.6,16.8,,5.7,1.7,7.5,0.14400000000000002,,0.8,-0.6,0.2,1.4
16,Vincent Askew,SG,26,TOT,73,1129,13.1,0.5489999999999999,0.019,0.48200000000000004,6.3,10.4,8.3,14.6,1.8,1.1,15.6,16.5,,1.5,1.2,2.7,0.114,,-0.5,0.3,-0.2,0.5
17,Keith Askins,SF,25,MIA,69,935,9.3,0.49200000000000005,0.305,0.188,8.9,15.5,12.1,4.8,1.7,2.1,13.8,12.4,,0.4,1.0,1.4,0.07200000000000001,,-2.6,0.6,-2.0,0.0
18,Stacey Augmon,SG,24,ATL,73,2112,15.2,0.551,0.005,0.38799999999999996,7.2,8.0,7.6,12.1,2.1,0.5,14.5,21.2,,2.5,1.2,3.7,0.084,,0.2,-0.6,-0.4,0.8
19,Isaac Austin,C,23,UTA,46,306,11.4,0.491,0.009000000000000001,0.39299999999999996,14.6,14.8,14.7,2.9,1.3,2.9,14.9,21.7,,0.0,0.4,0.3,0.052000000000000005,,-4.6,-1.4,-6.0,-0.3
20,Anthony Avent,PF,23,MIL,82,2285,10.2,0.45899999999999996,0.002,0.214,9.0,17.0,12.9,5.9,1.2,2.1,13.8,19.1,,-1.5,1.8,0.3,0.005,,-3.8,-1.7,-5.5,-2.0
21,John Bagley,PG,32,BOS,10,97,2.0,0.41600000000000004,0.04,0.24,1.2,6.9,4.1,26.4,1.0,0.0,38.1,20.0,,-0.4,0.1,-0.3,-0.159,,-7.1,-2.7,-9.8,-0.2
22,Thurl Bailey,PF,31,MIN,70,1276,12.9,0.516,0.0,0.318,5.0,15.2,10.1,7.9,0.8,2.3,10.6,19.8,,0.6,0.6,1.2,0.046,,-1.1,-1.4,-2.5,-0.1
23,Steve Bardo,SG,24,DAL,23,175,7.7,0.36700000000000005,0.09699999999999999,0.27399999999999997,5.7,18.3,11.4,23.9,2.2,1.1,19.7,20.1,,-0.4,0.1,-0.3,-0.084,,-4.9,-0.3,-5.1,-0.1
24,Charles Barkley,PF,29,PHO,76,2859,25.9,0.596,0.16,0.423,9.5,26.3,18.1,21.2,2.0,1.6,12.5,26.9,,9.6,4.8,14.4,0.242,,6.3,1.4,7.8,7.1
25,Dana Barros,PG,25,SEA,69,1243,15.0,0.541,0.35700000000000004,0.124,1.7,8.5,5.0,17.2,2.5,0.2,10.4,18.9,,2.1,1.4,3.5,0.134,,1.1,0.4,1.5,1.1
26,Jon Barry,SG,23,MIL,47,552,9.6,0.45299999999999996,0.306,0.23800000000000002,2.1,7.0,4.5,17.8,3.2,0.4,15.6,20.9,,-0.5,0.4,-0.1,-0.011000000000000001,,-3.8,-0.3,-4.1,-0.3
27,John Battle,SG,30,CLE,41,497,11.1,0.48100000000000004,0.03,0.36,1.0,5.5,3.3,15.6,0.9,0.6,8.7,22.6,,0.1,0.3,0.5,0.047,,-3.2,-1.6,-4.8,-0.4
28,Kenny Battle,SG,28,BOS,3,29,20.7,0.504,0.077,0.154,27.6,15.5,21.5,10.4,1.7,0.0,12.6,23.8,,0.1,0.0,0.1,0.14300000000000002,,2.8,-2.7,0.1,0.0
29,William Bedford,C,29,SAS,16,66,3.0,0.387,0.037000000000000005,0.444,1.8,14.9,8.7,0.0,0.0,0.9,3.0,22.2,,-0.1,0.1,-0.1,-0.05,,-9.3,-3.7,-13.0,-0.2
30,Benoit Benjamin,C,28,TOT,59,754,13.2,0.529,0.0,0.384,7.7,24.5,16.0,4.3,2.1,4.2,19.8,22.2,,-0.5,1.4,0.9,0.057,,-4.6,0.8,-3.8,-0.3
31,Tony Bennett,PG,23,CHH,75,857,9.3,0.496,0.308,0.158,1.6,6.1,3.9,20.9,1.7,0.0,15.2,15.8,,0.3,0.4,0.7,0.039,,-2.4,-0.7,-3.1,-0.2
32,David Benoit,SF,24,UTA,82,1712,11.3,0.504,0.166,0.257,8.0,17.8,13.0,3.6,1.3,1.6,12.0,18.8,,0.3,2.0,2.3,0.065,,-2.4,-0.9,-3.3,-0.6
33,Rolando Blackman,SG,33,NYK,60,1434,10.6,0.501,0.135,0.16699999999999998,1.8,5.9,4.0,17.1,0.8,0.5,10.1,19.4,,0.9,2.0,2.9,0.09699999999999999,,-1.2,0.6,-0.7,0.5
34,Alex Blackwell,SF,22,LAL,27,109,8.2,0.373,0.071,0.19,10.4,13.7,12.0,9.1,1.8,1.1,9.9,19.8,,-0.1,0.1,0.0,-0.016,,-4.7,-1.0,-5.7,-0.1
35,Lance Blanks,SG,26,MIN,61,642,8.4,0.491,0.287,0.213,3.4,9.3,6.4,16.9,1.3,0.5,15.9,13.5,,0.0,0.2,0.2,0.013000000000000001,,-2.5,-1.1,-3.7,-0.3
36,Ricky Blanton,SF,26,CHI,2,13,19.3,0.429,0.0,0.0,17.2,9.2,13.3,11.9,8.0,0.0,12.5,26.6,,0.0,0.0,0.0,0.08800000000000001,,-1.8,1.5,-0.3,0.0
37,Mookie Blaylock,PG,25,ATL,80,2820,17.1,0.515,0.327,0.175,3.4,7.8,5.5,33.6,3.5,0.5,15.3,18.0,,4.4,2.6,7.0,0.11900000000000001,,2.3,1.1,3.4,3.8
38,Muggsy Bogues,PG,28,CHH,81,2833,14.5,0.503,0.036000000000000004,0.23,2.0,8.9,5.6,32.5,2.7,0.1,16.1,13.9,,3.6,2.3,5.9,0.1,,0.1,0.6,0.8,2.0
39,Manute Bol,C,30,PHI,58,855,8.5,0.465,0.252,0.15,5.6,18.8,12.2,2.8,0.8,8.2,27.0,9.2,,-0.9,1.1,0.2,0.013000000000000001,,-4.8,2.6,-2.2,0.0
40,Walter Bond,SG,23,DAL,74,1578,9.0,0.462,0.07400000000000001,0.29600000000000004,3.3,10.8,6.7,11.8,2.3,0.7,14.9,19.4,,-1.2,0.4,-0.8,-0.024,,-4.4,-0.6,-5.0,-1.2
41,Anthony Bonner,PF,24,SAC,70,1764,12.3,0.498,0.013999999999999999,0.485,11.4,17.5,14.3,7.6,2.3,0.6,14.8,16.4,,0.6,1.8,2.4,0.067,,-1.8,-0.5,-2.4,-0.2
42,Anthony Bowie,SG,29,ORL,77,1761,11.2,0.51,0.084,0.14800000000000002,2.5,9.6,6.2,14.9,1.5,0.5,12.2,16.9,,0.9,1.6,2.5,0.069,,-1.5,0.3,-1.2,0.3
43,Sam Bowie,C,31,NJN,79,2092,13.2,0.5,0.009000000000000001,0.284,8.2,20.9,14.5,8.8,0.8,3.8,14.3,16.8,,0.9,3.3,4.3,0.098,,-1.8,1.4,-0.4,0.8
44,Terrell Brandon,PG,22,CLE,82,1622,16.7,0.53,0.068,0.23,2.7,9.6,6.3,27.4,2.5,1.0,13.5,21.6,,1.9,2.1,3.9,0.11699999999999999,,0.5,0.8,1.3,1.3
45,Randy Breuer,C,32,ATL,12,107,11.1,0.48200000000000004,0.0,0.161,10.0,19.5,14.6,7.8,0.9,1.8,13.1,14.8,,0.0,0.1,0.1,0.052000000000000005,,-3.0,-0.3,-3.3,0.0
46,Frank Brickowski,C,33,MIL,66,2075,17.0,0.584,0.031,0.321,6.6,16.0,11.3,15.5,1.9,1.4,17.5,23.9,,1.9,1.8,3.7,0.085,,0.3,-0.3,0.0,1.1
47,Kevin Brooks,SF,23,DEN,55,571,8.4,0.45299999999999996,0.11199999999999999,0.172,4.1,11.0,7.5,8.7,0.8,0.2,13.5,20.7,,-0.4,0.5,0.0,0.002,,-3.6,-2.0,-5.6,-0.5
48,Scott Brooks,PG,27,HOU,82,1516,14.1,0.584,0.257,0.35100000000000003,1.8,5.4,3.7,22.6,2.6,0.1,13.9,15.0,,2.9,1.7,4.6,0.145,,-0.4,1.2,0.7,1.0
49,Chucky Brown,SF,24,NJN,77,1186,11.2,0.523,0.015,0.29600000000000004,8.1,13.3,10.7,6.2,0.8,1.3,13.0,15.2,,0.9,1.3,2.2,0.08800000000000001,,-1.9,-0.2,-2.1,0.0
50,Dee Brown,PG,24,BOS,80,2254,17.2,0.541,0.11699999999999999,0.345,2.3,10.0,6.2,28.1,3.1,0.9,14.4,18.2,,3.6,2.7,6.4,0.135,,1.1,1.9,3.0,2.8
51,Mike Brown,C,29,UTA,82,1551,9.4,0.483,0.002,0.401,11.2,17.3,14.4,5.6,1.0,1.0,16.5,16.0,,-0.1,1.6,1.5,0.047,,-3.3,-1.0,-4.3,-0.9
52,Randy Brown,PG,24,SAC,75,1726,11.3,0.511,0.012,0.32299999999999995,4.6,9.2,6.8,15.8,3.0,1.2,17.8,15.9,,0.2,1.7,1.9,0.052000000000000005,,-2.6,1.3,-1.3,0.3
53,Mark Bryant,C,27,POR,80,1396,11.2,0.547,0.003,0.4,10.0,15.5,12.7,4.1,1.3,1.0,13.0,14.7,,1.5,1.8,3.2,0.111,,-2.9,-0.1,-3.0,-0.3
54,Jud Buechler,SF,24,GSW,70,1287,11.5,0.495,0.146,0.21600000000000003,7.0,9.9,8.5,9.9,1.8,0.9,11.1,15.7,,1.0,0.8,1.8,0.067,,-0.8,-0.3,-1.0,0.3
55,Matt Bullard,PF,25,HOU,79,1356,13.6,0.546,0.49200000000000005,0.15,5.9,12.3,9.3,12.1,1.1,0.5,9.8,19.0,,1.9,1.4,3.4,0.11900000000000001,,1.2,-0.7,0.5,0.8
56,Willie Burton,SF,24,MIA,26,451,10.3,0.518,0.106,0.9009999999999999,5.5,12.5,8.9,5.4,1.5,2.4,20.3,23.7,,-0.3,0.4,0.1,0.012,,-4.1,-0.9,-5.0,-0.3
57,Steve Burtt,SG,30,WSB,4,35,18.5,0.47700000000000004,0.115,0.385,6.3,3.3,4.8,31.3,2.8,0.0,11.6,41.8,,0.0,0.0,0.0,0.011000000000000001,,1.4,-1.6,-0.2,0.0
58,Michael Cage,C,31,SEA,82,2156,13.2,0.527,0.002,0.313,14.3,21.6,17.9,4.1,1.8,1.4,11.1,10.4,,2.9,3.3,6.2,0.13699999999999998,,0.5,-0.2,0.4,1.3
59,Dexter Cambridge,SF,23,DAL,53,885,12.1,0.52,0.013000000000000001,0.317,9.9,10.6,10.2,10.4,1.3,0.4,15.1,19.3,,0.4,0.0,0.4,0.022000000000000002,,-1.6,-2.4,-4.0,-0.5
60,Elden Campbell,PF,24,LAL,79,1551,14.2,0.49700000000000005,0.006,0.392,9.2,15.2,12.2,4.5,1.9,4.0,10.2,18.7,,0.8,1.9,2.6,0.08199999999999999,,-1.7,0.1,-1.5,0.2
61,Tony Campbell,SF,30,NYK,58,1062,11.6,0.517,0.013000000000000001,0.22,6.4,9.8,8.1,9.4,1.6,0.3,10.5,19.8,,0.7,1.9,2.5,0.115,,-2.3,0.9,-1.4,0.2
62,Antoine Carr,PF,31,SAS,71,1947,16.1,0.58,0.006999999999999999,0.318,6.6,15.8,11.4,7.8,0.9,2.8,10.7,20.3,,3.2,2.3,5.5,0.136,,-0.1,0.6,0.5,1.2
