Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Mahmoud Abdul-Rauf,PG,26,DEN,57,53,35.6,7.3,16.8,0.434,2.1,5.4,0.392,5.1,11.3,0.45399999999999996,0.49700000000000005,2.6,2.8,0.93,0.5,2.0,2.4,6.8,1.1,0.1,2.0,2.1,19.2
2,Michael Adams,PG,33,CHH,21,3,15.7,1.8,4.0,0.446,0.7,2.0,0.341,1.1,2.0,0.5479999999999999,0.53,1.2,1.7,0.743,0.2,0.8,1.0,3.2,1.0,0.2,1.2,1.2,5.4
3,Rafael Addison,SF,31,CHH,53,0,9.7,1.5,3.1,0.467,0.0,0.2,0.0,1.5,2.9,0.494,0.467,0.3,0.4,0.773,0.5,1.2,1.7,0.6,0.2,0.2,0.5,1.4,3.2
4,Cory Alexander,PG,22,SAS,60,0,9.3,1.1,2.6,0.406,0.4,1.1,0.39399999999999996,0.6,1.5,0.41600000000000004,0.49,0.3,0.4,0.64,0.2,0.6,0.7,2.0,0.5,0.0,1.1,1.6,2.8
5,Jerome Allen,SG,23,MIN,41,0,8.8,0.9,2.6,0.34299999999999997,0.2,0.8,0.303,0.6,1.8,0.361,0.39,0.6,0.9,0.722,0.1,0.5,0.6,1.2,0.5,0.1,0.8,1.0,2.6
6,Derrick Alston,C,23,PHI,73,41,22.1,2.7,5.3,0.512,0.0,0.0,0.33299999999999996,2.7,5.3,0.513,0.513,0.8,1.5,0.491,1.7,2.4,4.1,0.8,0.8,0.7,0.8,2.6,6.2
7,John Amaechi,PF,25,CLE,28,3,12.8,1.0,2.5,0.414,0.0,0.0,,1.0,2.5,0.414,0.414,0.7,1.2,0.5760000000000001,0.5,1.4,1.9,0.3,0.2,0.4,1.2,1.8,2.8
8,Ashraf Amaya,PF,24,VAN,54,34,20.4,2.2,4.7,0.48,0.0,0.0,0.0,2.2,4.6,0.48200000000000004,0.48,1.8,2.8,0.6509999999999999,2.1,3.5,5.6,0.6,0.4,0.2,1.1,2.8,6.3
9,Greg Anderson,PF,31,SAS,46,7,7.5,0.5,1.0,0.511,0.0,0.0,0.0,0.5,1.0,0.522,0.511,0.1,0.5,0.24,0.6,1.5,2.2,0.2,0.2,0.5,0.5,1.4,1.2
10,Kenny Anderson,PG,25,TOT,69,64,34.0,5.1,12.1,0.418,1.3,3.7,0.359,3.7,8.4,0.445,0.474,3.8,4.9,0.769,0.9,2.0,2.9,8.3,1.6,0.2,2.1,2.6,15.2
11,Nick Anderson,SG,28,ORL,77,77,35.3,5.2,11.7,0.442,2.2,5.6,0.391,3.0,6.2,0.489,0.535,2.2,3.1,0.6920000000000001,1.2,4.2,5.4,3.6,1.6,0.6,1.8,1.8,14.7
12,Willie Anderson,SG,29,TOT,76,44,27.1,3.8,8.7,0.436,0.4,1.6,0.28300000000000003,3.3,7.1,0.47,0.462,1.7,2.1,0.81,0.6,2.6,3.2,2.6,1.0,0.8,1.9,3.0,9.8
13,Greg Anthony,PG,28,VAN,69,68,30.4,4.7,11.3,0.415,1.3,3.9,0.332,3.4,7.4,0.45899999999999996,0.47200000000000003,3.3,4.3,0.7709999999999999,0.4,2.1,2.5,6.9,1.7,0.2,2.3,2.0,14.0
14,B.J. Armstrong,PG,28,GSW,82,64,27.6,4.1,8.9,0.46799999999999997,1.2,2.5,0.473,3.0,6.3,0.465,0.535,2.9,3.4,0.8390000000000001,0.3,2.0,2.2,4.9,0.8,0.1,1.6,1.8,12.3
15,Darrell Armstrong,PG,27,ORL,13,0,3.2,1.2,2.5,0.5,0.5,0.9,0.5,0.8,1.5,0.5,0.594,0.3,0.3,1.0,0.0,0.2,0.2,0.4,0.5,0.0,0.5,0.3,3.2
16,Vincent Askew,SG,29,SEA,69,2,25.0,3.1,6.3,0.493,0.4,1.2,0.337,2.7,5.1,0.531,0.526,1.8,2.3,0.764,0.9,2.2,3.2,2.4,0.7,0.2,1.4,2.6,8.4
17,Keith Askins,SF,28,MIA,75,14,25.3,2.1,5.2,0.402,1.3,3.2,0.418,0.8,2.1,0.377,0.528,0.6,0.8,0.789,1.5,2.8,4.3,1.6,0.6,0.8,1.1,3.6,6.1
18,Stacey Augmon,SF,27,ATL,77,49,29.8,4.7,9.6,0.491,0.0,0.1,0.25,4.7,9.5,0.49200000000000005,0.491,3.3,4.1,0.792,1.8,2.2,3.9,1.8,1.4,0.4,1.8,2.4,12.7
